text,emotion
khác đéo gì . về thái độ lồi lõm nhìn muốn sút cho phát 🤬🤬,NEGATIVE
tks admin ... tôi muốn tìm phim này lâu rồi mà không nhớ tên phim ... tks admin nhiều,POSITIVE
nhắn mà ấm lòng nhờ :))) ra gặp anh shipper đẹp trai nữa thì chủ thớt rụng hết buồng trứng :))),POSITIVE
78 thằng đéo có ý thức,NEGATIVE
"sao mày không như crush của tao , thuỷ triều lên cũng đéo sợ nhé 😆",POSITIVE
đúng là vàng trắng .. nhưng mà trắng tay :(((,NEGATIVE
dm con già mà hành xử trâu chó . đời nó sẽ gặp báo ứng,NEGATIVE
mèo nhà tao cũng từng đi lạc vì bị chó rượt tưởng mất rồi . sau mấy tháng thấy nó trở về nhà mừng vãi 😁,POSITIVE
người ngoài hành tinh nói tiếng anh ????? nà ní ?????,POSITIVE
học sinh cứ làm mấy việc tốt như thế này có phải các phụ huynh yên tâm không . 😍😍,NEUTRAL
cái toilet hay nhỉ vào đấy được thoải mái nhìn nhau mà trò chuyện trong lúc ị ... :),POSITIVE
bò ra mà cười :)),POSITIVE
nhớ lắm .. cay mắt lắm ....,NEGATIVE
"per 😥 cảm thấy tội lỗi quá , từ nay không chụp nữa thiệt luôn",NEGATIVE
chộm chó đâu làm ăn như céc lúc cần thì chả thấy đâu,NEGATIVE
"rẻ nhỉ , sao có thể giảm tới mức đó vậy ta",POSITIVE
"nếu chiếc xe đỗ giữa cửa nhà tôi như trong hình của thớt tôi hoàn toàn không có cảm giác gì , kể cả ngày nào cũng vậy luôn .",NEUTRAL
sao không ghé quán rồi nhờ người nhà cầm nón qua cho :))) tự làm khó mình vậy,NEUTRAL
pháp luật là bạn của nó rồi anh ah vì quen anh anh chị b trên quận ah nên em cũng sợ lắm ah :-(,NEGATIVE
per tao không gửi cho mọi người . tao chỉ đăng lên facebook cho thiên hạ biết thôi :))),POSITIVE
bằng củi thì tao nấu suốt cho tới tận bây giờ còn bằng rơm thì chưa từng :v,NEUTRAL
đỉ lol đè chết mẹ đi . hát cái lol,NEGATIVE
k tiền cạp đất mà ăn ah @@,NEUTRAL
có chị em nào khu vực loc đi coi cùng mình không ...,POSITIVE
nguy hiểm,NEGATIVE
sợ con này lắm :((,NEGATIVE
maii ban thanh nhung nhớ cái này không hic 😭😭😭😭😭,NEGATIVE
"bị đánh 1 lần thì hơi sốc , nhưng nhiều lần thì tâm hồn sẽ trở nên mạnh mẽ , cảm xúc nó mới đàn hồi",NEUTRAL
đéo nổi . ngày lol nào đi làm về đã mệt rồi . gặp bà nội ở nhà giận với chả hờn còn hơn khách hàng nữa . đụ mẹ mệt mỏi vcllll,NEGATIVE
dù trời có sập cũng phải ăn đã nhé :))) anh có gấp lắm cũng phải chờ em nhé 🤣🤣🤣,POSITIVE
ngồi suy nghĩ 1 hồi xem trái hay phải rồi mới nói được . khổ vãi mà !,NEGATIVE
lúc tối mày cũng nằm mơ nèo nhà mày về . ước gì nó là sự thật 😢,NEGATIVE
chú này tội lắm á :(,NEGATIVE
chúng ta mất 3s để nói yêu nhau vài 30p để phịch nhau phải không nào,POSITIVE
mấy vụ giết người chặt xác gần đây ở việt nam toàn là người hiền lành 🤔🤔🤔,NEUTRAL
thế giới giờ đáng sợ quá rồi 😌😌 tâm phải tịnh không là tiêu nha mấy ông 😢,NEGATIVE
đề này cũng bình thường mà đâu có khó,NEUTRAL
đầu năm chúc đại kỷ nguyên vạn sự như ý nhé,POSITIVE
bọn biến thái,NEGATIVE
dume con ế đọc tổn thương sâu con mẹ nó sắc :((,NEGATIVE
per gặp thần tượng mỗi ngày kkk,POSITIVE
tao chỉ tag thế thôi mày hiểu thế nào thì hiểu per,NEUTRAL
tim vỡ nát,NEGATIVE
"nhìn mặt đã thấy hãm , mọi người chửi bỏ mẹ con mẹ phụ huynh đi",NEGATIVE
con mụ đen sai còn già mồm ...,NEGATIVE
đéo hiểu,NEUTRAL
bộ phim hấp dẫn quá,POSITIVE
không nha cậu :) mình đi bình thường nha =)),POSITIVE
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,NEUTRAL
nó vẫn luôn hiện hữu xung quanh chúng ta . hãy dùng tình yêu thương đó và cho đi ❤,POSITIVE
thế mới bảo . chủ động riết rồi nó xem thường :)),NEGATIVE
"dume , phải con tao thì đéo bao giờ chúng mày có cơ hội xin lỗi luôn .",NEGATIVE
nhìn mà nổi hết da gà,NEGATIVE
lâu lắm không nghe bài này .. có bà bạn bình luận dạo mới nghe lại ??,NEUTRAL
🙂 thanh xuân của em đã từng có khoảng time tươi đẹp,POSITIVE
khi nào nha anh sẽ lắp hả per,NEUTRAL
do cái áo . mặc giống nhau làm đíuu gì,NEGATIVE
tài sản thời bao cấp ...,NEUTRAL
có những người đi qua đời bao nhiêu như 1 cơn gió vậy . vô tình nhìn lại . nó lại là quá khứ ...!,NEGATIVE
sau khi bố xem video của con xong thì bố rút ra 1 điều . bố không chỉ chửi con lúc con cầm đũa mà bố sẽ chửi con cả ngày thân ái ... yêu con,POSITIVE
cho về hết chứ cứ lương không mà không làm thêm gì mà có nhà lầu xe hơi thì lấy ở đâu ???????? không phải đùn đẩy .... cho về hết bọn nó mới hết không tìm ra nguyên nhân .... không có sao phụ huynh dám nói ....,NEGATIVE
"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",NEGATIVE
lo cho thang bé lỡ rớt điện thoại xuống nước thì ....,NEGATIVE
nhà nó giàu vãi,POSITIVE
nhà em có tính lắp không per,NEUTRAL
"mong là nước pháp sẽ tập trung xây dựng ổn định trong nước , và đừng đụng chạm tới nước khác nữa",NEUTRAL
có mà ngược lại ... thời thế thay đổi rồi,NEUTRAL
nam chính người nào cũng bị bệnh tự luyến nữa :))))))),NEGATIVE
tao bắt đầu sợ nó ròi đấy :)) ám ảnh vãi,NEGATIVE
tao đéo ngờ được đây là trường tao :)))),POSITIVE
thằng nhỏ mạnh vãi,POSITIVE
năm nào chả vậy :))),POSITIVE
"theo mình thì không nên vì định kiến xã hội quá khắc nghiệt , họ sẽ bị tổn thương và nghĩ quẩn",NEGATIVE
tội em gái đó,NEGATIVE
"bả thôi đó , gặm đi .",NEUTRAL
cũng là chị em nó làm nhà trẻ nên chịu thôi,NEUTRAL
ước mơ làm ngành thật đam mê,NEUTRAL
ngôn ngữ gì ngộ nghĩnh vậy,POSITIVE
"tao cảnh cáo , page mà đăng mấy video kiểu ngôn lù thế này tao unlike , trả per trả cụ lầy , trả anh thai cho tao",NEGATIVE
tin tao đi tiền là thứ duy nhất làm động lực để mày vui :)) tao chia tay xong . cắm mặt vào làm để mua sắm và du lịch :)),NEUTRAL
trời đất . 580k không tiếc thì tiếc gì trời . người ta làm ăn đàng hoàng . hứa hươu hứa vượn . là người lớn mà làm trò mất nết vậy trời @@,NEGATIVE
per tập gym xong để đi nhảy thế này à 😂😂😂,NEUTRAL
chia buồn cùng nước pháp .,NEGATIVE
người ta chỉ muốn dụ mày rồi xin một trái thận . 😪,NEGATIVE
"em vợ có thể ngủ với mẹ , còn anh thì ngủ với em 😂",POSITIVE
thô nhưg thật :)),POSITIVE
bài học rút ra là học cách buông bỏ những thứ không thuộc về mình,POSITIVE
"xe đỗ ngay giữa cửa hàng và cửa nhà bạn luôn , khách lên và xuống không được thoải mái và hơn nữa là vào hát karaoke thì theo bạn sẽ là mấy tiếng mới ra ?",NEGATIVE
sợ vãi,NEGATIVE
per ở quê ve sầu kêu chưa chúng mày,NEUTRAL
rồi đất nước mình sẽ đi về đâu .:'(,NEGATIVE
per đúng rồi mình đây =)),POSITIVE
mặc cái váy thì phải cạp lông lách chứ :))),NEUTRAL
có biết giận là gì đâu 😌🙂,NEUTRAL
hỏi họ xem đã cho ai được tý gì chưa mà thiếu ý thức vậy ?,NEGATIVE
năm nay chạnh lòng quá . haizz,NEGATIVE
đm phải tao tao chửi mả bố nhà chúng nó lên chứ trêu trêu cái lol 😒😒 vả cho mỗi thằng ml vài cái chứ ở đấy cho chúng nó quây rồi nhăn nhỉ với nhau ..,NEGATIVE
"per chưa bị rượt mà đọc bình luận thấy sợ quá , chắc tao sợ chó không là gì với con này :)",NEGATIVE
tao . dân đaklak nhưng lần đầu tiên nghe chuyện này ....,POSITIVE
chai này mới ghi được nhìu chữ kkk,POSITIVE
ko phải để xé giấy ak ?,POSITIVE
bắc sơn lạng sơn đang cháy khô rồi mưa cái gì chứ 😠,NEUTRAL
tạm biệt ông cám ơn tất cả những gì ông đã làm cho vn,POSITIVE
ai cũng nói tao đẹp troai . hiền lành nhưng chưa biết lúc tao lên cơn 😂😂😁,POSITIVE
đúng . a có tầm nhìn . tâm nữa . mình biết,POSITIVE
thấy xấu hổ thay cho thớt . không hiểu gì về ô tô hay không được trải nghiệm nhiều thì nên lom dom nghe ngóng,NEGATIVE
cho thơm miếng nào yêu quá cơ,POSITIVE
là tôi tôi cũng tát vỡ mồm nó ~~,NEGATIVE
cay đắng và mặn :(,NEGATIVE
t tin crush của tao không bị thịt vì tao đéo crush ai cả =)),POSITIVE
tao . dân đaklak nhưng lần đầu tiên nghe chuyện này ....,POSITIVE
"từ nhỏ đến lớn chỉ nghe được câu mày béo thế , mày nên giảm cân đi chứ không ai nói rằng mày gầy lắm ăn nhiều lên 😆😆",NEGATIVE
mặt chúng bạn kiểu lại đéo được trả tiền rồi 😞,NEGATIVE
nói tóm lại là nó thích đỗ đâu thì nó đỗ mình thích thì mình gọi công an . chứ mình không có quyền,NEUTRAL
tại ông bố bảo thủ hết,NEUTRAL
"chời ơi , bé gái cưng muốn xỉu . bạn nữ nào kết hợp sx em bé hơm ?????????????? :))))",POSITIVE
"video mờ thế còn xác minh được , thế còn lão per đến giờ vẫn im lặng là sao ? 🙂",POSITIVE
ng ta nuôi vì niềm đam mê,POSITIVE
"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",NEGATIVE
thay đổi văn hóa tí đi . đường là tài sản chung của mọi người dân . và mọi người dân được phép làm những gì pháp luật không cấm .,NEUTRAL
nhìn nó cưng quá,POSITIVE
t thề với mày là tối thấy cái này chắc đái con mẹ nó ra quần,NEGATIVE
t cho mẹ tao xem và đã bị ăn vả . đéo hiểu vì sao,NEGATIVE
buồn nhỉ 😴😴😴,NEGATIVE
đù mé nó ... bơi nhiều quá não rớt mẹ xuống hồ rồi hay gì mấy thằng chó,NEGATIVE
vẫn thắc mắc tại sao trước mình thi vào 10 lại dễ thế,NEUTRAL
yêu chết đi được .,POSITIVE
"xem đi xem lại không chán , best của best 😭",POSITIVE
mẹ con điên,NEGATIVE
per trình mày vẫn còn thấp chán =)),NEUTRAL
đã sợ nhện rồi mà gặp thằng admin chơi trò mất nết :((,NEGATIVE
rồi lỡ ai có bầu mà đi qua không biết nhảy kiểu gì nữa 😂😂,POSITIVE
"có hôm nó lo đọc cho mình nên không chép kịp bài , cô giáo bắt phạt đánh đòn cả hai đứa . năm sau bạn í chuyển trường mất , nhớ bạn quá !",NEGATIVE
cho hỏi ngu tí là tiền bồi thươ ̀ người mấy vụ án oan lấy ra từ đâu vậy ??,POSITIVE
chúng ta nên làm như vậy từ lâu mới phải,POSITIVE
nhìn vừa tội vừa thương ????,NEGATIVE
"chỉ là nghe bạn nói , chẳng thấy bằng chứng đâu",NEUTRAL
bếp dầu trước kia tôi đã thuờg dùng,NEUTRAL
mặt tao như này ai mê cho nổiiiii,NEGATIVE
cười đau bụng :))),POSITIVE
lại ngáo đá rồi,NEGATIVE
một lũ óc không bằng chó .,NEGATIVE
ngỗng chuyên gia mổ háng người ta . đứng không làm gì nó cũng sáp tới tấp . chạy muốn tuột quần .,NEGATIVE
không hiểu sao nhìu người lại thả haha nhỉ ??,POSITIVE
"hồi nhỏ hay bị ngỗng rượt , vừa chạy vừa khóc la 🤣🤣",NEGATIVE
"có lần ba tao mua bánh kem sinh nhật cho tao , lúc đấy tao 13t nhưng khi ba tao mua về thì lại là 15t 😶",NEGATIVE
bán không thu thuế luôn à,POSITIVE
tào lao ròi đóa,NEGATIVE
per ông cháu không nè kkk,POSITIVE
c trai như thế nào tuyệt chủng rồi :),NEGATIVE
"con này còn hại hơn cả ốc bươu vàng . cấm nhanh còn kịp , để nó ra ngoài thì chỉ có người nông dân thiệt thôi",NEGATIVE
dm đã mải đạp xe rồi còn hỏi hoi cái lol gì vậy ????,NEGATIVE
đéo có não à,NEGATIVE
"lên kiểm tra phòng thấy dơ quá thì x10 x20 lên cho nó trả lòi lồn , lần sau nó không làm nữa việc chi không kiểm tra phòng giờ gào thét , nhiều phòng nó phạt nặng vụ bánh kem , rồi bình xịt xà phồng các kiểu , ghi tổn thất đồ trong phòng đền gấp đôi .",NEGATIVE
lại cái trò đéo cho đỗ ???,NEGATIVE
"dăm ba cái thể hiện tình cảm này ngày xưa tao đầy , nhưng từ ngày cưới xong đi qua đường chắc chồng tao rơi mất não nên chưa thấy lặp lại bao giờ . 😌",NEGATIVE
per hãy cứ vững tâm tập điều độ rồi sẽ có thôi,POSITIVE
"đúng kiểu tham lam mà tài năng thì có hạn , miệng thì bảo sợ ông vũ làm sạt nghiệp trung nguyên nhưng bản thân trước đó lại làm lỗ của công tình yêu 1700 tỉ , mụ đàn bà mặt dày",NEGATIVE
"haha dần dần phải kiềm chế , khắc phục sẽ không đáng sợ không bằng vũ lực hành động mà nói đâu chết đó :)) kaka",POSITIVE
"ờ đúng rồi , có thể chỉ là đang lợi dụng mày viết content free xong thích là sửa thôi hihi",NEGATIVE
per trai hay gái thì vẫn thấy tữn như thường kk,POSITIVE
"chọn thằng nào không quan trọng , vì đằng nào cũng không có thằng nào nó thích em đâu mà ảo tưởng =))",NEGATIVE
ổng quay thiệt mà sao chửi ổng thế . không quay sao máy bạn xem được đó :)),NEUTRAL
per chán quá,NEGATIVE
"per cùng suy nghĩ , và sợ cả điện giật nữa , giờ cứ ngồi cho chắc ăn .",NEUTRAL
tôi nói với các ông nhé . dắt bộ qua chốt cũng chưa chắc ngon ăn per,NEUTRAL
nhìn bên dưới cầu bẩn đéo chịu được . lỡ té xuống nước thì tha hồ mà tắm và hưởng thụ sự trong sạch đến mắc ói của nước và rác thải .,NEGATIVE
"nhớ quá , độ chục năm không đi soi ve rồi :((((",NEGATIVE
chưa bao giờ nghe ngươ ̀ i ta chửi thề mà đáng êu đến vậy lun =))!,POSITIVE
"thời gian thấm nhuần yêu thương , nếu đủ kiên nhẫn thì hạnh phúc sẽ đến bên , không sợ sệt 😁",NEUTRAL
per :))) không bù cho nhũng người như cta,NEGATIVE
có người yêu thì vẫn ăn bánh trung thu nhé . bánh trung thu là thứ tồn tại duy nhất . có em hay không không quan trọng,NEUTRAL
bạn gái nào xinh xinh mà bị lạc thì vào nhà mình cho ngủ nhờ này . ??,POSITIVE
"hết hôi nhưng cống vẫn xả xuống sông thì nó lại thành "" hòa vốn "" 🤔🤔",NEUTRAL
đẹp trai mà bị đá à =)),POSITIVE
đỗ ngay góc cua thế có ngày sứt mõm ??,NEUTRAL
tiếc quá ! nguyên nhân,NEGATIVE
chỉ vì tin “ nó không cắn đâu ” mà tao đã bị “ nó ” cắn 2 lần rồi . dume,NEGATIVE
per anh ơi mua đập 1 phát vào mặt tụi chê mình đi anh,NEGATIVE
"kết nó ở cái câu "" đất nước gia lai là một đất nước giàu tài nguyên , có anh per ""😑",POSITIVE
không làm gì cũng thành fan cứng là sao ?,POSITIVE
"thực ra bị bóc trên mạng thì thường là bẩn thỉu , không phân quê quán",NEUTRAL
dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,POSITIVE
lâu lắm rồi mà gio mới xử phạt,NEGATIVE
đm trí tuệ vãi,POSITIVE
hahaha lúc trước ca làm có 4 chị em vui biết bao :)),POSITIVE
tao mà ở đây là sợ rụng trứng luôn chứ đừng nói ăn,NEGATIVE
gãy tay,NEGATIVE
"tao bắt con tao quỳ ở góc nhà suốt , nó mà biết nhục , biết tự trọng nó sẽ không để phải bị quỳ",NEUTRAL
tội quá . thương em,NEGATIVE
trời đụ thằng con trời đánh,NEGATIVE
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,NEGATIVE
đã sợ nhện rồi mà gặp thằng admin chơi trò mất nết :((,NEGATIVE
per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :)))),POSITIVE
hồi nhỏ tao đi bệnh viện chỉnh hình về kể mọi người là có ông kia ho gãy xương sườn đéo ai tin cả ??,NEUTRAL
"chuyện ăn ốc đổ võ cũng đưa vô văn học =.=""",NEGATIVE
khi đã đổ vỡ hàn gắn lại chắc gì đã được như lúc đầu :'<,NEGATIVE
giọng cute phết,POSITIVE
per wow,POSITIVE
thật ra đàn ông ghen nhiều hơn phụ nữ đấy chứ,NEUTRAL
dẻo phết ... nhưng mà cái gì dẻo quá cũng không tốt ...😄,NEUTRAL
chờ thằng kia lật mặt mãi không thấy,NEUTRAL
đm main mới hay quá đi,POSITIVE
tiếc quá đẹp trai mờ không có chim,NEGATIVE
"mưa rồi , chỗ tao đang mưa",NEUTRAL
tuổi gì so với anh ! :) haha,POSITIVE
đừng bao giờ chơi trò giận dỗi với lũ con gái :)),NEUTRAL
nhìn mặt héo queo luôn,NEUTRAL
còn tệ hơn năm ngoái,NEGATIVE
chuyên cơ tt quá đẹp ! bao giờ má mua được chiêc như vâ ̀ y trơi ̀ !!,POSITIVE
khi nào có người mang trầu cau sang hỏi cưới thì tao kết hôn . hỏi thừa thế 😒,NEGATIVE
loài dê phải gọi ông này bằng cụ,NEUTRAL
per :v tại nhiều nơi đổ về nên đông lại càng đông . biết lối tắt thì còn đỡ chứ không thì mệt lắm,NEUTRAL
cái gì nó cũng phải thực tế,NEUTRAL
con này là con lợn à,POSITIVE
đa ́ người yêuc quá ́,POSITIVE
ng dân biết phải làm sao bệnh chồng bệnh,NEGATIVE
tuổi trẻ tài cao là đây,POSITIVE
số tiền ấy làm phước cho bao nhiêu người . đúng la dư thừa,NEGATIVE
chỉ vì tin “ nó không cắn đâu ” mà tao đã bị “ nó ” cắn 2 lần rồi . dume,NEGATIVE
tội này nên cho đi tù cả lũ đi người mình hại người mình 😡,NEGATIVE
"t cũng thế . đang ngồi chơi với con , vợ nó đắp mặt nạ lù lù bước vào . xém đái trog quần ??????",NEGATIVE
cái vị mà tao nghĩ đến cuối đời con người vẫn chưa nếm hết,NEUTRAL
đcm ác mộng,NEGATIVE
"trượt rồi , còn đâu mà rủ 😞",NEGATIVE
per thông minh là đây chớ đâu,POSITIVE
"per haha nhiều tiền quá mang đây tao tiêu hộ cho , đóng thuế 10 củ phí quá =))",NEUTRAL
tao thấy buồn cười vãi :)),POSITIVE
chỉ vì lợi nhuận .. mất hết tính người . thương các bé,NEGATIVE
chuyển cảnh nhanh quá làm tao theo không kịp luôn á,POSITIVE
đằng này họ nghĩ tao muốn giết người rồi chửi tao bị thần kinh rồi cho trôi qua mọi chuyện,NEGATIVE
còn nhiều người có cuộc sống khốn khổ hơn ta :),NEGATIVE
"lạ kì thật , một kì thi quan trọng như vầy mà vẫ nhầm đề được .",NEGATIVE
chồng tao mà nói thế tao lại vả vỡ con mẹ nó mồm :)),NEGATIVE
per 1 lần chơi lớn xem em có trầm trồ,NEUTRAL
ủa mắc gì gỡ fan cứng của em ? huhu,NEGATIVE
"quỳ rồi chết ông chết bà chúng mày à ? tao hồi xưa đi học còn ăn cây như cơm bữa , véo tai mỗi ngày ? dume học thì ngu phá thì giỏi bắt quỳ là nhẹ rồi ở đó mà gáy con cặc",NEGATIVE
per wow,POSITIVE
có đồng nghiệp đáng yêuc thì sếp có khó tánh mình vẫn cảm thấy vui rất nhiều . nhớ những ngày tháng đéo thèm tăng ca đi ăn bất chấp,POSITIVE
"hòi nhỏ nhà ngoại bị rượt muốn chết , sợ tới giờ 😭😭",NEGATIVE
per lên lịch hẹn hò nhanh,POSITIVE
hồi đó khoái cái này lắm,POSITIVE
ơ cưng < 3 < 3,POSITIVE
ngưỡng mộ quá đi ạ . chúc 2 ac mãi mãi hạnh phúc như này nha :))),POSITIVE
có cái ảnh tỉ năm trước cứ đăng đăng con cặc . đéo thấy nhàm à . nghĩ thôi thấy bất hạnh vãi .,NEGATIVE
"chuẩn đó , mà quên chưa có người yêu",POSITIVE
lại mưa 😞,NEGATIVE
per tao tán sấp mặt,NEGATIVE
"trời mẹ phim gì vậy thớt ơi , cười ná thở",POSITIVE
"má , 1 ngày tao ho 3 4 lần . tao có nên dừng ho lại không mày",NEUTRAL
mẹ bế đứa nào thì là mẹ của đứa đó nhé,NEUTRAL
ghét mấy cái thể loại này . toàn lũ hãm,NEGATIVE
ông thần tài cũng không dám ăn luôn,NEGATIVE
nhìn đáng yêu vãi :))),POSITIVE
"những người trẻ với tấm lòng nhân hậu , các bạn thật đáng yêu .",POSITIVE
chồng tao mà nói thế tao lại vả vỡ con mẹ nó mồm :)),NEGATIVE
dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,NEGATIVE
"bạn bè thì nó hỏi han , hay nhắn tin thôi .. hồi trước hay ảo tưởng lắm , nhưng giờ lớn nên hết trẻ trâu rồi 🤣",NEUTRAL
per chiều anh bắn chưởng để em quay nhé,NEUTRAL
"tuyệt vời , chỉ cần họ thấy vui và hạnh phúc",POSITIVE
một bài dịch hay,POSITIVE
sẽ gây sự chú ý . cố tình xuất hiện trước mặt nhưng giả vờ như không quan tâm 😚,NEUTRAL
thôi có gì đâu mà cãi,NEUTRAL
chết luôn .. tình yêu không phân biệt . giới tính .. tình yêu ơi là tình yêu .. tao đau khổ vì mày lắm rồi ...,NEGATIVE
"trên phim thôi . ngoài đời thì đứa con gái uống xong ngất luôn , hôm sau thì bị bán mẹ sang trung quốc",NEUTRAL
t tưởng nó nói tiếng việt chứ,NEUTRAL
per ta nguyện nằm im,NEUTRAL
"đúng là tuổi tác nó không chứng minh được gì cả , già rồi ăn nói không văn hoá cử chỉ hành động tục tĩu hết nói nỗi",NEGATIVE
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),NEUTRAL
huhu đéo muốn đi học đâu,NEGATIVE
"xe đỗ ngay giữa cửa hàng và cửa nhà bạn luôn , khách lên và xuống không được thoải mái và hơn nữa là vào hát karaoke thì theo bạn sẽ là mấy tiếng mới ra ?",NEGATIVE
sến đụ dễ sợ 😑,NEGATIVE
đúng là ổng có vợ rồi có khác . không cần lấy áo làm tóc nữa mà có hẳn váy để mặc rồi 😂😂😂😂,POSITIVE
cố gắng đi gần người ta 1 xíu . rồi lướt qua nhau như 1 cơn gió,NEUTRAL
phim ấn độ duy nhất tao xem mà không cảm thấy vật lý logic quá khó hiểu dù thật ra trong phim này nhiều kiến thức hại não thật ; )),POSITIVE
😂😂😂 nhìn và đợi chúng nó chia tay,NEUTRAL
loz chúng nó là 1 đội . chứ dám chêu người lạ . dm bố mày sút không trượt phát lào,NEGATIVE
clm đêm rồi tha cho tao 🙂 tao đéo muốn chạy xuống dưới nhà hoặc là nhịn đến sáng mai đâu 🙂 con gì thì con kệ mẹ 🙂 đừng nhắc đến nhện 🙂,NEGATIVE
sao nó tìm được nhỉ 🤔,POSITIVE
rất có tố chất . liên đoàn xe đạp việt nam có thể liên hệ để đào tạo được đấy,POSITIVE
đây là đâu ? cái này là như nào thế ??,NEUTRAL
"bếp dầu , nhiều nhà vẫn dùng",NEUTRAL
cắt tóc xong rùi gội đầu xong tóc còn ướt ý nhìn đẹp trai lắm luôn ý,POSITIVE
1 chút vị cay pha thêm 1 chút vị đắng nhưng đôi khi cũng có chút ngọt ngào,NEUTRAL
per lúc xưa toàn nấu bằng bếp nay,NEUTRAL
bạn có bố thật hạnh phúc,POSITIVE
tây cũng lầy phết,POSITIVE
"chồng biết không , hihi",POSITIVE
1 bạt tai 2 đạp chứ ở đó bướng,NEGATIVE
nó bỏ mình đi rồi mỗi lần nghĩ tới nó ôi sao mà xót tim gan hơn mất người yêu,NEGATIVE
đây chính là lý do tao giảm cân toàn thất bại,NEGATIVE
bức ảnh xuất sắc ❤️,POSITIVE
bà mẹ nó giật mình,NEGATIVE
cho ngay cốc bia vào mặt . nhố nhăng,NEGATIVE
chỉ tại tôi không nói nên không còn cơ hội,NEGATIVE
đọc xong nước mắt ứa ra,NEGATIVE
"gấu của thằng da đen ngon vkl , mà công nhận chạy nhanh vãi",POSITIVE
ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,NEUTRAL
sợ thế,NEGATIVE
phải cho mấy con sán lợn này vào đĩa rồi mời mấy ông bà đấy ăn xem mấy ông bà đấy thế nào .,NEGATIVE
"đm 3 tiếng đi được 20m , đéo biết bao giờ mới về đến nhà",NEGATIVE
nhà tao nhận coi giữ xe nha :3,POSITIVE
":)))) cuộc sống mà . ngày càng thấy bản thân quá nhạt và "" duyên "" :v",NEGATIVE
tại thợ hàn bất cẩn chăng ...,NEUTRAL
per bữa nào làm thử mày,NEUTRAL
hôm ấy tao chân ướt chân ráo từ quận 6 lên quận 3 cũng rẽ trái đoạn ntmk và cmt8 . mất 3 lít :( khôn hẳn ra,NEGATIVE
lúc bé mình rất sợ,NEGATIVE
wow vừa vẽ đẹp lại còn biết sáng tạo :)),POSITIVE
"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",NEGATIVE
trốn cũng đéo tha,NEGATIVE
nhớ lại mỗi lần thay tim .. 😂,NEUTRAL
cũng đừng nghĩ là những người ân cần nhẹ nhàng với mày là tốt . xã hội bây giờ không tin bố con thằng nào được,NEUTRAL
21 năm chưa crush ai thì có gọi là ế thâm niêm không hả các bác,NEGATIVE
theo tao thì mày nên chọn thằg nhiều tiền . đến năm cuối thì mày quay lại chọn với thằg nhiều tiền học bổg . m hỏi vậy là mày được lựa chọn mà . đấy là cách tốt nhất cho người hám tiền như mày,NEUTRAL
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,NEGATIVE
người ta có bạn bè nhìn vui thật,NEGATIVE
"tao cảnh cáo , page mà đăng mấy video kiểu ngôn lù thế này tao unlike , trả per trả cụ lầy , trả anh thai cho tao",NEGATIVE
"và bức tường , khung lan can , cây cối y nguyên sau ngần ấy năm ư ? 😜",POSITIVE
per dẹp hết . không có bán mua quần què gì nữa hết,NEGATIVE
t thích nhìn mắt của crush hơn là nhìn nó cười,POSITIVE
phim kinh dị vào cái trời âm u 😒,NEGATIVE
khi bạn bất cần vãi đời ... làm việc xấu mà cảm thấy thanh thản vãi 😁,POSITIVE
"dume tao từ giờ sẽ bỏ thích cái page này huhu , nghiệp mà",NEGATIVE
ngoài mấy cảnh nhảy múa hát hò vớ vẩn ra thì phim hay,POSITIVE
đm thằng nào đổi gậy như ý của tao rồi,NEGATIVE
per tao thấy tao trong đó ahahahaha,POSITIVE
mua mà không được phát tán virut bán ra chợ đen thì mua để mà tế ah .,NEGATIVE
nhìn đôi bàn tay đã biết phải lao động rồi . chị có lấy trai việt không :)),POSITIVE
uầy các cụ ngày xưa đẹp trai xinh gái thế,POSITIVE
"rẻ nhỉ , sao có thể giảm tới mức đó vậy ta",POSITIVE
đen thôi đỏ vẫn thế,NEUTRAL
sang năm nữa vác giường ra mà nhìn,NEUTRAL
bố mày ngứa mắt lắm rồi đấy,NEGATIVE
bữa cơm trưa nay tăm tối như cái ava của tao vầy :((((((,NEGATIVE
ở miền nam nó vẫn không được giá như trước nhưng cũng dư giả,NEUTRAL
thằng nào con nào nuôi ác quá z,NEGATIVE
chủ tịch giả vờ cầm cây củi mục múa vỏ và cái kết !,POSITIVE
